pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
71,15,1,63.8,9.576011695899272,4.0,15.264337522473745
75,4,1,64.6,10.454664030948086,0.8,12.497999839974392
49,-26,1,60.4,11.865917579353038,-4.2,17.42699056062176
65,16,1,63.2,10.686440005914019,2.8,17.020575783445164
75,10,1,67.0,10.862780491200208,3.8,17.326280616450834
51,-24,1,63.0,12.56980508997652,-4.0,19.6468827043885
71,20,1,62.2,11.713240371477038,-0.8,22.38749651032915
75,4,1,67.4,10.0399203184089,5.2,17.41263908774313
59,-16,1,66.2,10.73312629199898,-1.2,18.30846798615329
66,7,1,64.4,9.58123165360277,-1.8,17.89413311675086
75,9,1,69.2,6.797058187186568,4.8,13.103434664239751
75,0,1,70.0,7.280109889280519,0.8,9.984988733093287
59,-16,1,66.8,8.012490249604042,-3.2,12.153188881935467
56,-3,1,66.2,8.814760348415593,-0.6,9.914635646356343
71,15,1,67.2,9.066421565314501,1.0,11.895377253370315
75,4,1,67.2,9.066421565314501,0.0,11.247221879201987
53,-22,1,62.8,9.654014708917716,-4.4,14.943225890014508
68,15,1,64.6,9.607288899580343,1.8,15.35252422242023
75,7,1,68.4,9.099450532861855,3.8,15.221695043588278
46,-29,1,63.4,13.240090634130857,-5.0,19.30025906561878
73,27,1,63.0,12.825755338380644,-0.4,24.120530674095875
71,-2,1,66.6,11.802542099056447,3.6,21.113976413740733
49,-22,1,62.8,14.078352176302436,-3.8,22.554378732299412
70,21,1,61.8,13.14153720079959,-1.0,24.969981978367546
68,-2,1,66.2,9.782637681116467,4.4,19.781304304822775
49,-19,1,61.4,11.371015785759841,-4.8,17.16682847820179
68,19,1,60.8,10.802777420645093,-0.6,20.305171754998774
54,-14,1,61.8,9.602083107326218,1.0,18.425525772688278
70,16,1,61.8,9.602083107326218,0.0,17.161002301730512
73,3,1,62.8,10.61602562167215,1.0,17.161002301730512
47,-26,1,62.4,11.28273016605465,-0.4,19.346834366376324
63,16,1,61.4,10.87658034494296,-1.0,18.627936010197157
73,10,1,65.2,10.963576058932585,3.8,17.49857137025763
49,-24,1,61.0,12.569805089976516,-4.2,19.54993606127651
70,21,1,60.4,11.907980517283335,-0.6,22.622997148919058
73,3,1,65.6,10.139033484509248,5.2,17.655027612552743
58,-15,1,64.6,10.691117808723263,-1.0,18.343936327844137
65,7,1,63.0,9.669539802906838,-1.6,17.938784797192923
73,8,1,67.8,6.379655163094623,4.8,12.969194269498777
54,-19,1,64.6,8.619744775803962,-3.2,12.814054783713072
70,16,1,64.0,7.968688725254594,-0.6,15.436968614336168
73,3,1,67.0,7.968688725254606,3.0,13.171939872319488
51,-22,1,64.2,10.802777420645105,-2.8,16.843396332094066
66,15,1,62.8,9.782637681116459,-1.4,18.201648277010516
73,7,1,66.6,9.181503144910414,3.8,15.417522498767429
44,-29,1,61.4,13.240090634130853,-5.2,19.18853824552563
71,27,1,61.0,12.825755338380642,-0.4,24.12053067409587
70,-1,1,64.8,11.903780911962372,3.8,21.052315787105226
47,-23,1,61.0,14.23024947075769,-3.8,22.78596058980178
68,21,1,60.0,13.322912594474207,-1.0,25.179356624028337
66,-2,1,64.4,9.914635646356334,4.4,20.044949488586887
53,-13,1,60.8,10.18331969448075,-3.6,16.425589791541725
68,15,1,60.4,9.762171889492597,-0.4,18.48783383741859
53,-15,1,61.6,7.893034904268418,1.2,16.254230218623082
68,15,1,61.6,7.893034904268418,0.0,14.56021977856103
71,3,1,62.6,8.848728722251552,1.0,14.56021977856103
46,-25,1,61.2,11.031772296417266,-1.4,18.02220852171009
61,15,1,59.8,10.377861051295657,-1.4,18.02220852171009
71,10,1,63.4,10.549881515922328,3.6,16.727223320085134
47,-24,1,59.2,12.296340919151492,-4.2,19.01841213140571
68,21,1,58.6,11.631852818876247,-0.6,22.165288177689003
71,3,1,63.6,10.13903348450924,5.0,17.507141400011598
56,-15,1,62.6,10.691117808723254,-1.0,18.34393632784414
63,7,1,61.0,9.669539802906828,-1.6,17.938784797192923
71,8,1,65.8,6.379655163094607,4.8,12.969194269498782
53,-18,1,62.8,8.318653737234138,-3.0,12.509996003196804
68,15,1,62.2,7.661592523751147,-0.6,14.876155417311288
53,-15,1,61.6,8.354639429682136,-0.6,14.876155417311288
68,15,1,62.6,8.848728722251547,1.0,16.263455967290593
71,3,1,62.6,8.848728722251547,0.0,15.874507866387544
49,-22,1,61.8,10.034938963441654,-0.8,17.064583206161235
65,16,1,61.2,9.654014708917707,-0.6,17.30028901492689
71,6,1,64.8,9.17605579756355,3.6,15.372052563011877
53,-18,1,61.8,10.256705123966443,-3.0,16.30950643030009
73,20,1,62.2,10.733126291998968,0.4,19.3597520645281
51,-22,1,62.6,10.139033484509238,0.4,19.3597520645281
49,-2,1,59.4,11.610340218959966,-3.2,17.297398648351724
47,-2,1,54.6,10.52615789355257,-4.8,16.589153082662175
47,0,1,53.4,11.08151614175601,-1.2,14.872793954062566
46,-1,1,48.0,1.999999999999677,-5.4,9.316651759081692
44,-2,1,46.6,1.8165902124581184,-1.4,0.8944271909999076
46,2,1,46.0,1.2247448713910174,-0.6,1.6733200530681476
66,20,1,49.8,9.121403400793039,3.8,9.17605579756357
70,4,1,54.4,12.521980673998787,4.6,8.933084573650918
49,-21,1,55.0,12.083045973594537,0.6,14.690132742763081
68,19,1,59.8,11.366617790706233,4.8,16.63430190900718
71,3,1,64.8,9.038805230781318,5.0,16.59819267269783
54,-17,1,62.4,10.163660757817508,-2.4,16.4863579968409
70,16,1,62.4,10.163660757817508,0.0,18.411952639521967
73,3,1,67.2,7.596051605933167,4.8,14.21970463828275
54,-19,1,64.4,9.555103348472988,-2.8,14.872793954062564
73,19,1,64.8,9.934787365615819,0.4,17.854971296532515
